"Time","Action","Source","Destination","Subject","Date","EntryID","Message"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\prueba","\\kausho1 - 2025\Bandeja de entrada\prueba","Password Reset Request for Discord","2025-12-26T20:52:43","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79700004F2F1DCE3AE01B458706F0025B604BC2000516FEE9960000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\prueba","\\kausho1 - 2025\Bandeja de entrada\prueba","¡Felicidades! Tu cumpleaños esta por llegar","2025-11-09T08:02:38","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79700004F2F1DCE3AE01B458706F0025B604BC2000516FEE9950000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\prueba\cocheflipantes","\\kausho1 - 2025\Bandeja de entrada\prueba\cocheflipantes","Nuevo inicio de sesión detectado de la cuenta Microsoft","2025-12-06T12:29:47","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79D00004F2F1DCE3AE01B458706F0025B604BC2000516FEE7920000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\test","\\kausho1 - 2025\Bandeja de entrada\test","Se agregó la información de seguridad de la cuenta Microsoft","2025-07-12T02:08:53","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79800004F2F1DCE3AE01B458706F0025B604BC2000516FEEB910000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\lol","\\kausho1 - 2025\Bandeja de entrada\lol","Se ha procesado su pedido de Microsoft #9108027336","2025-12-14T14:58:53","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79900004F2F1DCE3AE01B458706F0025B604BC2000516FEE5940000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\lol","\\kausho1 - 2025\Bandeja de entrada\lol","Updates to Discord’s Policies","2025-09-01T16:43:42","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79900004F2F1DCE3AE01B458706F0025B604BC2000516FEE5930000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\aaaa","\\kausho1 - 2025\Bandeja de entrada\aaaa","Se ha procesado su pedido de Microsoft #2202897542","2025-07-23T17:30:07","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79A00004F2F1DCE3AE01B458706F0025B604BC2000516FEE1990000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\aaaa","\\kausho1 - 2025\Bandeja de entrada\aaaa","Discord Password Changed","2025-12-26T20:54:22","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79A00004F2F1DCE3AE01B458706F0025B604BC2000516FEE1980000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\aaaa\ostras","\\kausho1 - 2025\Bandeja de entrada\aaaa\ostras","Actualizaciones de nuestros términos de uso","2025-08-23T21:41:15","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79B00004F2F1DCE3AE01B458706F0025B604BC2000516FEED960000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\aaaa\ostras","\\kausho1 - 2025\Bandeja de entrada\aaaa\ostras","Account Scheduled for Deletion","2025-12-30T17:51:15","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79B00004F2F1DCE3AE01B458706F0025B604BC2000516FEED950000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\aaaa\ostras\ostrass","\\kausho1 - 2025\Bandeja de entrada\aaaa\ostras\ostrass","Mantente organizado con Microsoft 365","2025-06-18T11:15:53","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79C00004F2F1DCE3AE01B458706F0025B604BC2000516FEE3950000","OK"
"2026-05-20T11:01:55","Moved","\\kaushx2003@outlook.cl\Bandeja de entrada\aaaa\ostras\ostrass","\\kausho1 - 2025\Bandeja de entrada\aaaa\ostras\ostrass","Se eliminó la información de seguridad de la cuenta Microsoft","2025-12-06T12:29:10","00000000AC1CF38411D35848B6CC06D7403A67EC07004F2F1DCE3AE01B458706F0025B604BC2000516FED79C00004F2F1DCE3AE01B458706F0025B604BC2000516FEE3940000","OK"
